Season,AQI,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,CO_8hr,PM2.5_AVG,PM10_AVG
Winter,88.52173913043478,1.9043478260869564,0.4691304347826087,23.26521739130435,24.26086956521739,43.26086956521739,30.347826086956523,11.97391304347826,13.656521739130437,1.7565217391304346,1.2521739130434784,245.91304347826087,0.4782608695652174,30.82608695652174,42.65217391304348
Winter,91.08333333333333,2.4541666666666666,0.43916666666666665,28.170833333333334,26.291666666666668,50.583333333333336,32.0,13.325000000000001,15.612499999999999,2.3249999999999997,1.5083333333333335,205.70833333333334,0.43333333333333335,31.708333333333332,48.625
Winter,88.29166666666667,1.8541666666666667,0.39125000000000004,30.275000000000002,29.458333333333332,50.666666666666664,29.708333333333332,12.700000000000001,14.608333333333334,1.9541666666666666,1.375,232.08333333333334,0.39999999999999997,30.666666666666668,52.291666666666664
Winter,78.45833333333333,2.558333333333333,0.3566666666666667,28.96666666666667,30.041666666666668,42.145833333333336,25.958333333333332,12.633333333333333,15.38125,2.658333333333333,1.4708333333333332,219.95833333333334,0.35833333333333334,26.708333333333332,43.75
Winter,76.0,2.3041666666666667,0.47041666666666665,27.308333333333334,25.916666666666668,41.916666666666664,25.208333333333332,13.529166666666667,16.179166666666667,2.6458333333333335,1.5958333333333332,253.375,0.44583333333333336,25.666666666666668,42.375
Winter,88.04166666666667,2.183333333333333,0.5975,24.379166666666666,26.875,46.0,31.666666666666668,17.308333333333334,18.8625,1.675,1.0833333333333333,227.375,0.575,30.583333333333332,45.041666666666664
Winter,80.16666666666667,2.0749999999999997,0.4483333333333333,25.925,24.083333333333332,38.0,27.208333333333332,13.683333333333332,15.783333333333333,2.0625,1.2333333333333334,253.16666666666666,0.47500000000000003,27.583333333333332,38.708333333333336
Winter,105.3913043478261,2.615217391304348,0.4906521739130435,36.660869565217396,35.26086956521739,59.73913043478261,38.95652173913044,15.943478260869565,18.430434782608696,2.3130434782608695,1.4130434782608696,259.39130434782606,0.4826086956521739,37.30434782608695,55.78260869565217
Winter,137.125,3.2125,0.5533333333333333,33.050000000000004,33.625,74.95833333333333,50.625,18.712500000000002,20.4375,1.7458333333333333,1.0583333333333333,243.33333333333334,0.5416666666666666,49.708333333333336,74.16666666666667
Winter,115.04166666666667,2.1083333333333334,0.5483333333333333,21.59583333333333,23.708333333333332,55.083333333333336,38.5625,18.587500000000002,21.291666666666668,2.670833333333333,1.2249999999999999,233.91666666666666,0.5458333333333333,41.0,58.666666666666664
Winter,77.20833333333333,1.6333333333333335,0.470625,25.554166666666664,24.541666666666668,38.166666666666664,25.1875,15.112499999999999,16.935416666666665,1.8541666666666667,1.4124999999999999,251.33333333333334,0.4583333333333333,26.25,39.333333333333336
Winter,82.25,1.2750000000000001,0.43124999999999997,30.02916666666667,29.666666666666668,42.791666666666664,28.0,14.133333333333333,15.779166666666667,1.5916666666666668,1.3916666666666666,263.0833333333333,0.44166666666666665,28.125,42.083333333333336
Winter,73.08333333333333,1.4583333333333333,0.41583333333333333,26.945833333333336,27.125,39.083333333333336,24.625,14.7125,16.258333333333333,1.5583333333333333,1.0708333333333333,235.25,0.39166666666666666,24.583333333333332,39.25
Winter,81.625,1.0625,0.4320833333333333,30.84583333333333,30.208333333333332,41.625,27.958333333333332,13.945833333333333,15.433333333333332,1.4875,1.2249999999999999,232.83333333333334,0.4458333333333333,28.083333333333332,41.125
Winter,82.95652173913044,1.4434782608695653,0.44086956521739135,29.369565217391305,29.52173913043478,47.08695652173913,29.652173913043477,14.017391304347825,15.882608695652175,1.9478260869565216,1.4695652173913043,249.56521739130434,0.41739130434782606,28.47826086956522,44.78260869565217
Winter,85.625,1.5291666666666668,0.4766666666666666,27.770833333333332,27.0,45.270833333333336,28.479166666666668,12.96875,15.035416666666668,2.1333333333333333,1.2625,242.95833333333334,0.5,29.583333333333332,47.208333333333336
early spring,60.708333333333336,1.4958333333333333,0.3283333333333333,25.291666666666668,26.291666666666668,32.083333333333336,17.916666666666668,10.358333333333333,11.674999999999999,1.3791666666666667,1.4708333333333332,245.08333333333334,0.3333333333333333,20.041666666666668,34.916666666666664
early spring,70.29166666666667,1.7291666666666667,0.39875,26.8,26.416666666666668,38.916666666666664,26.0,10.929166666666667,13.429166666666667,2.4166666666666665,1.6500000000000001,271.7916666666667,0.3958333333333333,23.375,36.416666666666664
early spring,93.41666666666667,1.7291666666666667,0.4254166666666667,32.38333333333333,31.5,52.5,32.666666666666664,11.870833333333332,13.9375,1.9666666666666668,1.4333333333333333,223.17499999999998,0.4166666666666667,32.875,50.791666666666664
early spring,85.875,2.595833333333333,0.4354166666666666,25.395833333333332,26.708333333333332,50.979166666666664,29.0,14.179166666666667,16.3,2.1625,1.3041666666666667,254.41666666666666,0.4375,29.833333333333332,52.208333333333336
early spring,80.5,2.220833333333333,0.41375,22.520833333333332,23.041666666666668,44.25,28.333333333333332,13.262500000000001,14.720833333333333,1.4458333333333335,1.075,212.04166666666666,0.4083333333333334,27.541666666666668,44.625
early spring,89.58333333333333,2.220833333333333,0.4604166666666667,31.370833333333334,28.041666666666668,51.083333333333336,32.916666666666664,13.608333333333334,16.1375,2.5749999999999997,1.3791666666666667,227.41666666666666,0.43333333333333335,31.041666666666668,47.25
early spring,142.79166666666666,2.466666666666667,0.55875,37.237500000000004,37.833333333333336,84.625,57.875,14.433333333333332,16.308333333333334,1.9458333333333335,1.4000000000000001,237.375,0.5458333333333333,53.916666666666664,80.75
early spring,148.58333333333334,2.029166666666667,0.5058333333333334,31.583333333333332,32.291666666666664,79.83333333333333,54.333333333333336,12.833333333333334,14.4375,1.6500000000000001,1.125,211.20833333333334,0.5333333333333333,57.416666666666664,83.33333333333333
early spring,89.16666666666667,1.1875,0.3454166666666667,24.166666666666668,25.583333333333332,43.416666666666664,25.958333333333332,9.975,11.691666666666668,1.6333333333333335,1.8833333333333335,265.3333333333333,0.37083333333333335,30.875,49.875
early spring,86.58333333333333,2.31875,0.47625,27.604166666666668,25.458333333333332,50.6875,33.875,11.672916666666666,12.839583333333332,1.2729166666666667,1.3166666666666667,260.5416666666667,0.46249999999999997,29.958333333333332,46.25
early spring,124.91666666666667,2.654166666666667,0.5541666666666667,21.866666666666664,23.958333333333332,58.041666666666664,42.208333333333336,14.5625,15.970833333333333,1.3,1.0666666666666667,237.70833333333334,0.5625,44.916666666666664,61.0
early spring,87.95833333333333,1.8833333333333335,0.47625,17.537499999999998,18.208333333333332,41.75,29.208333333333332,12.608333333333334,14.995833333333332,2.1999999999999997,0.8833333333333333,221.625,0.47500000000000003,30.416666666666668,43.625
early spring,70.8695652173913,1.9869565217391305,0.4717391304347826,31.752173913043475,28.73913043478261,39.65217391304348,25.391304347826086,14.1,17.2,3.2217391304347824,1.517391304347826,237.43478260869566,0.45652173913043476,23.608695652173914,36.34782608695652
early spring,88.20833333333333,1.9000000000000001,0.45249999999999996,36.00416666666667,35.083333333333336,46.666666666666664,30.916666666666668,15.520833333333334,17.958333333333332,2.5375,1.4666666666666668,238.45833333333334,0.4583333333333333,30.458333333333332,46.208333333333336
early spring,102.95833333333333,2.529166666666667,0.44458333333333333,39.170833333333334,39.125,56.395833333333336,35.979166666666664,15.033333333333333,17.1125,2.025,1.6500000000000001,248.54166666666666,0.4666666666666666,36.208333333333336,56.125
early spring,84.5,2.370833333333333,0.40166666666666667,34.90833333333333,36.75,44.5,27.625,14.166666666666666,16.291666666666668,2.0958333333333337,1.5916666666666668,249.08333333333334,0.4083333333333334,29.166666666666668,46.666666666666664
early spring,83.54166666666667,2.7291666666666665,0.4191666666666667,38.425000000000004,36.541666666666664,45.75,29.666666666666668,15.633333333333333,17.8625,2.125,1.325,242.45833333333334,0.4083333333333334,27.583333333333332,43.625
early spring,110.83333333333333,2.2083333333333335,0.47,40.300000000000004,40.416666666666664,59.75,40.708333333333336,15.549999999999999,17.758333333333333,2.1125000000000003,1.4875,239.5,0.46249999999999997,39.25,56.458333333333336
early spring,115.08333333333333,1.9875,0.43166666666666664,36.958333333333336,37.833333333333336,57.083333333333336,39.041666666666664,12.954166666666666,14.65,1.6583333333333332,1.4333333333333333,243.54166666666666,0.4583333333333333,41.083333333333336,60.708333333333336
early spring,108.6086956521739,2.6217391304347823,0.45369565217391306,34.88260869565217,32.69565217391305,58.80434782608695,41.0,14.697826086956523,16.41521739130435,1.7282608695652173,1.4739130434782608,228.3913043478261,0.42173913043478267,38.47826086956522,54.78260869565217
early spring,128.29166666666666,1.9979166666666668,0.46020833333333333,34.199999999999996,34.041666666666664,67.41666666666667,43.6875,14.410416666666668,17.345833333333335,2.94375,1.6666666666666667,231.29166666666666,0.4875,46.083333333333336,68.83333333333333
early spring,117.25,2.0083333333333333,0.46541666666666665,20.891666666666666,25.5,61.375,41.458333333333336,16.120833333333334,18.25,2.0791666666666666,1.075,213.45833333333334,0.44166666666666665,41.875,64.83333333333333
early spring,105.83333333333333,1.4458333333333335,0.44916666666666666,23.4375,21.25,56.875,39.125,13.183333333333332,18.625,5.366666666666667,1.675,242.70416666666665,0.46249999999999997,37.541666666666664,53.5
early spring,84.83333333333333,2.4541666666666666,0.6270833333333333,5.5375000000000005,8.708333333333334,41.645833333333336,28.895833333333332,17.458333333333332,22.916666666666668,5.479166666666667,1.3812499999999999,249.5,0.6,33.041666666666664,48.125
early spring,78.25,1.2249999999999999,0.4691666666666667,13.441666666666668,12.041666666666666,39.083333333333336,28.25,11.545833333333334,13.829166666666666,2.2291666666666665,1.2291666666666667,255.375,0.5,26.625,37.0
early spring,61.958333333333336,1.3041666666666667,0.3658333333333333,21.2625,19.708333333333332,27.791666666666668,17.916666666666668,10.125,11.758333333333333,1.5583333333333333,1.1916666666666667,262.4166666666667,0.39166666666666666,20.291666666666668,30.208333333333332
early spring,82.875,2.1041666666666665,0.4183333333333333,21.175,22.458333333333332,44.791666666666664,31.291666666666668,12.549999999999999,14.229166666666666,1.6291666666666667,1.0166666666666668,240.91666666666666,0.40416666666666673,28.375,40.75
early spring,115.625,1.7,0.4595833333333334,32.675000000000004,28.625,62.416666666666664,46.208333333333336,11.895833333333334,13.7125,1.8583333333333334,1.3875,233.75,0.4583333333333333,42.291666666666664,58.583333333333336
early spring,144.70833333333334,2.5541666666666667,0.5220833333333333,31.891666666666666,32.958333333333336,72.91666666666667,53.5,15.2875,17.308333333333334,2.095833333333333,1.3083333333333333,246.66666666666666,0.5291666666666667,56.125,75.0
early spring,106.29166666666667,2.4458333333333333,0.4266666666666667,42.2125,40.416666666666664,58.9375,36.791666666666664,12.275,14.125,1.8916666666666666,1.6333333333333335,258.0416666666667,0.42500000000000004,37.583333333333336,57.75
early spring,123.25,2.7083333333333335,0.48458333333333337,42.045833333333334,42.75,74.08333333333333,44.541666666666664,15.804166666666667,17.808333333333334,1.9124999999999999,1.5458333333333334,254.83333333333334,0.4791666666666667,44.125,73.95833333333333
early spring,129.29166666666666,2.283333333333333,0.5116666666666666,42.833333333333336,42.708333333333336,68.08333333333333,45.791666666666664,15.3125,16.654166666666665,1.3416666666666668,1.5333333333333332,233.66666666666666,0.5125000000000001,46.416666666666664,69.79166666666667
early spring,131.79166666666666,2.1708333333333334,0.4983333333333333,37.775,38.541666666666664,67.375,48.166666666666664,14.075000000000001,15.970833333333333,1.7708333333333333,1.4916666666666665,217.125,0.5041666666666667,47.333333333333336,66.33333333333333
early spring,101.75,1.0208333333333333,0.39208333333333334,34.583333333333336,32.791666666666664,45.666666666666664,33.125,11.329166666666666,12.958333333333334,1.5083333333333335,1.7708333333333333,234.54166666666666,0.41250000000000003,35.833333333333336,50.083333333333336
early spring,111.04166666666667,2.8874999999999997,0.4879166666666667,20.870833333333334,24.291666666666668,58.666666666666664,41.5,15.604166666666666,17.875,2.254166666666667,1.1208333333333333,269.9583333333333,0.4583333333333333,39.541666666666664,56.083333333333336
early spring,98.625,2.0541666666666667,0.55625,12.924999999999999,15.083333333333334,39.5,29.833333333333332,18.037499999999998,20.166666666666668,2.1999999999999997,0.8791666666666668,239.125,0.5416666666666666,34.541666666666664,45.333333333333336
early spring,87.16666666666667,1.7541666666666667,0.5975,23.254166666666666,21.083333333333332,44.291666666666664,35.125,15.670833333333334,17.941666666666666,2.183333333333333,1.0041666666666667,192.29166666666666,0.6,30.041666666666668,38.791666666666664
early spring,140.125,1.9958333333333333,0.6116666666666667,28.3,25.583333333333332,80.04166666666667,64.58333333333333,14.641666666666666,17.029166666666665,2.3958333333333335,1.1958333333333333,226.91666666666666,0.6,56.375,70.58333333333333
early spring,157.79166666666666,1.2958333333333334,0.5404166666666667,40.40416666666667,38.625,88.54166666666667,68.25,11.620833333333332,13.066666666666668,1.4583333333333333,1.7833333333333332,254.79166666666666,0.5958333333333333,76.45833333333333,97.5
early spring,140.0,1.9833333333333334,0.43916666666666665,41.9125,42.083333333333336,75.79166666666667,56.208333333333336,9.691666666666666,10.708333333333334,1.0041666666666667,1.4749999999999999,238.375,0.43333333333333335,53.416666666666664,71.58333333333333
early spring,117.625,2.033333333333333,0.37916666666666665,49.625,51.041666666666664,54.875,40.833333333333336,8.841666666666667,9.870833333333334,0.9958333333333332,1.5833333333333333,242.95833333333334,0.3875,43.166666666666664,57.75
early spring,106.20833333333333,1.6833333333333333,0.4083333333333334,27.208333333333332,29.666666666666668,44.333333333333336,35.208333333333336,11.145833333333334,12.508333333333333,1.3041666666666667,1.5041666666666667,265.6666666666667,0.40416666666666673,37.916666666666664,48.625
early spring,112.33333333333333,1.5374999999999999,0.42208333333333337,29.958333333333332,28.5,54.125,42.625,11.1625,12.25,1.1375,1.3541666666666667,257.5833333333333,0.4166666666666667,40.0,49.875
early spring,128.08333333333334,2.216666666666667,0.5004166666666666,30.708333333333332,31.583333333333332,56.125,45.583333333333336,14.008333333333333,16.104166666666668,2.1166666666666667,1.2416666666666667,255.91666666666666,0.5083333333333333,47.458333333333336,59.166666666666664
early spring,147.20833333333334,1.7041666666666666,0.46291666666666664,33.46666666666667,31.916666666666668,71.64583333333333,57.854166666666664,13.183333333333332,14.308333333333332,1.1083333333333334,1.3583333333333334,230.75,0.4666666666666666,55.208333333333336,67.54166666666667
early spring,136.95833333333334,2.2416666666666667,0.4991666666666667,31.833333333333332,32.208333333333336,67.83333333333333,49.458333333333336,14.887500000000001,16.520833333333332,1.6833333333333333,1.3583333333333334,253.91666666666666,0.4791666666666667,52.416666666666664,71.16666666666667
early spring,126.95833333333333,2.2375000000000003,0.43916666666666665,32.55416666666667,32.958333333333336,57.166666666666664,44.625,12.612499999999999,14.075000000000001,1.4458333333333335,1.8708333333333333,223.66666666666666,0.47500000000000003,45.583333333333336,58.916666666666664
early spring,119.91304347826087,2.1956521739130435,0.3869565217391305,39.221739130434784,35.34782608695652,60.08695652173913,45.391304347826086,10.365217391304348,11.713043478260868,1.3630434782608696,1.8782608695652174,252.0,0.391304347826087,42.82608695652174,55.52173913043478
early spring,129.08333333333334,2.1333333333333333,0.41208333333333336,42.80833333333334,42.333333333333336,60.875,42.833333333333336,10.941666666666668,11.9375,1.0916666666666666,2.0500000000000003,237.0,0.41250000000000003,46.166666666666664,65.25
early spring,109.54166666666667,2.5541666666666667,0.45208333333333334,48.458333333333336,47.416666666666664,65.45833333333333,41.875,11.245833333333332,12.695833333333333,1.4791666666666667,1.9958333333333333,257.7083333333333,0.4666666666666666,38.916666666666664,60.208333333333336
early spring,115.83333333333333,2.2333333333333334,0.37916666666666665,38.583333333333336,41.166666666666664,55.125,37.5,10.299999999999999,11.8125,1.4625000000000001,1.4458333333333335,252.79166666666666,0.37916666666666665,41.375,61.291666666666664
early spring,88.70833333333333,2.3666666666666667,0.365,43.67916666666667,40.625,54.791666666666664,32.625,11.375,12.7875,1.3916666666666666,1.6125,249.35416666666666,0.37083333333333335,30.666666666666668,51.583333333333336
early spring,90.75,1.7541666666666667,0.35083333333333333,44.208333333333336,47.583333333333336,43.666666666666664,28.875,8.5625,9.508333333333333,0.9541666666666667,2.0124999999999997,269.375,0.3541666666666667,31.5,48.166666666666664
early spring,42.458333333333336,1.6958333333333335,0.4008333333333333,23.5,26.833333333333332,17.333333333333332,11.666666666666666,10.191666666666666,11.366666666666667,1.2666666666666666,1.2083333333333333,255.58333333333334,0.39166666666666666,13.458333333333334,20.583333333333332
early spring,63.26086956521739,1.873913043478261,0.42478260869565215,40.778260869565216,35.52173913043478,44.04347826086956,21.26086956521739,11.478260869565217,13.447826086956523,1.9043478260869564,1.5608695652173912,236.3913043478261,0.40869565217391307,18.08695652173913,36.08695652173913
early spring,101.625,2.245833333333333,0.3870833333333334,49.625,48.583333333333336,63.541666666666664,36.125,12.283333333333333,13.783333333333333,1.5833333333333333,1.7791666666666668,254.95833333333334,0.41250000000000003,35.041666666666664,62.666666666666664
early spring,106.0,2.8,0.5700000000000001,30.5,60.5,72.5,41.5,20.5,21.5,0.9,0.45,209.0,0.4,37.5,69.0
